Name,Position,Team,Position > 1
Saquon Barkley,Running Back,New York Giants,no
Connor Barwin,Line Backer,New York Giants,no
Odell Beckham Jr,Wide Receiver,New York Giants,no
Evan Brown,Center,New York Giants,no
Jamon Brown,Guard,New York Giants,no
Lorenzo Carter,Outside Linebacker,New York Giants,no
Sean Chandler,Safety,New York Giants,no
Corey Coleman,Wide Receiver,New York Giants,no
Tae Davis,Inside Linebacker,New York Giants,no
Zak DeOssie,Long Snapper,New York Giants,no
Garrett Dickerson,Tight End,New York Giants,no
Riley Dixon,Punter,New York Giants,no
Mario Edwards,Defensive End,New York Giants,no
Ukeme Eligwe,Line Backer,New York Giants,no
Rhett Ellison,Tight End,New York Giants,no
Evan Engram,Tight End,New York Giants,no
Bennie Fowler,Wide Receiver,New York Giants,no
Wayne Gallman,Running Back,New York Giants,no
BJ Goodson,Inside Linebacker,New York Giants,no
John Greco,Guard,New York Giants,no
Grant Haley,Cornerback,New York Giants,no
Will Hernandez,Guard,New York Giants,no
BJ Hill,Defensive Tackle,New York Giants,no
Janoris Jenkins,Cornerback,New York Giants,no
John Jenkins,Defensive Tackle,New York Giants,no
Kenny Ladler,Defensive Back,New York Giants,no
Cody Latimer,Wide Receiver,New York Giants,no
Kyle Lauletta,Quarterback,New York Giants,no
Tony Lippett,Defensive Back,New York Giants,no
Eli Manning,Quarterback,New York Giants,no
Kareem Martin,Outside Linebacker,New York Giants,no
Josh Mauro,Defensive End,New York Giants,no
RJ McIntosh,Defensive Tackle,New York Giants,no
Brian Mihalik,Offensive Tackle,New York Giants,no
Kamrin Moore,Safety,New York Giants,no
Alec Ogletree,Line Backer,New York Giants,no
Elijhaa Penny,Running Back,New York Giants,no
Spencer Pulley,Center,New York Giants,no
Curtis Riley,Cornerback,New York Giants,no
Aldrick Rosas,Kickers,New York Giants,no
Alonzo Russell,Wide Receiver,New York Giants,no
Russell Shepard,Wide Receiver,New York Giants,no
Sterling Shepard,Wide Receiver,New York Giants,no
Scott Simonson,Tight End,New York Giants,no
Nate Solder,Tackle,New York Giants,no
Nate Stupar,Line Backer,New York Giants,no
Alex Tanney,Quarterback,New York Giants,no
Michael Thomas,Safety,New York Giants,no
Dalvin Tomlinson,Defensive Tackle,New York Giants,no
Olivier Vernon,Outside Linebacker,New York Giants,no
BW Webb,Cornerback,New York Giants,no
Chad Wheeler,Tackle,New York Giants,no
Kerry Wynn,Defensive End,New York Giants,no
Ronald Zamort,Cornerback,New York Giants,no
Taybor Pepper,Long Snapper,New York Giants,no
Michael Hunter,Cornerback,New York Giants,no
Brittan Golden ,Wide Receiver,New York Giants,no
Jake Ceresna,Defensive End,New York Giants,no
Sam Beal,Cornerback,New York Giants,no
