Name,Position,Team,Position > 1
Carson Wentz,Passing,Philadelphia Eagles,yes
Nick Foles,Passing,Philadelphia Eagles,yes
Nate Sudfeld,Passing,Philadelphia Eagles,yes
Nelson Agholor,Passing,Philadelphia Eagles,yes
Josh Adams,Rushing,Philadelphia Eagles,no
Wendell Smallwood,Rushing,Philadelphia Eagles,no
Corey Clement,Rushing,Philadelphia Eagles,no
Jay Ajayi,Rushing,Philadelphia Eagles,no
Carson Wentz,Rushing,Philadelphia Eagles,yes
Darren Sproles,Rushing,Philadelphia Eagles,no
Nick Foles,Rushing,Philadelphia Eagles,yes
Golden Tate,Rushing,Philadelphia Eagles,no
Nelson Agholor,Rushing,Philadelphia Eagles,yes
Nate Sudfeld,Rushing,Philadelphia Eagles,yes
