Name,Position,Team,Position > 1
Carson Wentz,Passing,Philadelphia Eagles,yes
Nick Foles,Passing,Philadelphia Eagles,yes
Nate Sudfeld,Passing,Philadelphia Eagles,yes
Nelson Agholor,Passing,Philadelphia Eagles,yes
Josh Adams,Rushing,Philadelphia Eagles,yes
Wendell Smallwood,Rushing,Philadelphia Eagles,yes
Corey Clement,Rushing,Philadelphia Eagles,yes
Jay Ajayi,Rushing,Philadelphia Eagles,yes
Carson Wentz,Rushing,Philadelphia Eagles,yes
Darren Sproles,Rushing,Philadelphia Eagles,no
Nick Foles,Rushing,Philadelphia Eagles,yes
Golden Tate,Rushing,Philadelphia Eagles,yes
Nelson Agholor,Rushing,Philadelphia Eagles,yes
Nate Sudfeld,Rushing,Philadelphia Eagles,yes
Zach Ertz,Receiving,Philadelphia Eagles,no
Golden Tate,Receiving,Philadelphia Eagles,yes
Alshon Jeffery,Receiving,Philadelphia Eagles,no
Nelson Agholor,Receiving,Philadelphia Eagles,yes
Dallas Goedert,Receiving,Philadelphia Eagles,no
Wendell Smallwood,Receiving,Philadelphia Eagles,yes
Corey Clement,Receiving,Philadelphia Eagles,yes
Jordan Matthews,Receiving,Philadelphia Eagles,no
Darren Sproles,Receiving,Philadelphia Eagles,yes
Josh Adams,Receiving,Philadelphia Eagles,yes
Kamar Aiken,Receiving,Philadelphia Eagles,no
Josh Perkins,Receiving,Philadelphia Eagles,no
Jay Ajayi,Receiving,Philadelphia Eagles,yes
Shelton Gibson,Receiving,Philadelphia Eagles,no
Nick Foles,Receiving,Philadelphia Eagles,yes
Richard Rodgers,Receiving,Philadelphia Eagles,no
Carson Wentz,Receiving,Philadelphia Eagles,yes
Malcolm Jenkins,Defense,Philadelphia Eagles,no
Nigel Bradham,Defense,Philadelphia Eagles,no
Jordan Hicks,Defense,Philadelphia Eagles,no
Rasul Douglas,Defense,Philadelphia Eagles,no
Corey Graham,Defense,Philadelphia Eagles,no
Fletcher Cox,Defense,Philadelphia Eagles,no
Kamu GrugierHill,Defense,Philadelphia Eagles,no
Ronald Darby,Defense,Philadelphia Eagles,no
Jalen Mills,Defense,Philadelphia Eagles,no
Brandon Graham,Defense,Philadelphia Eagles,no
Avonte Maddox,Defense,Philadelphia Eagles,no
Michael Bennet,Defense,Philadelphia Eagles,no
Crevon LeBlanc,Defense,Philadelphia Eagles,no
Sidney Jones,Defense,Philadelphia Eagles,no
Chris Long,Defense,Philadelphia Eagles,no
Nate Gerry,Defense,Philadelphia Eagles,no
Haloti Ngata,Defense,Philadelphia Eagles,no
Tre Sullivan,Defense,Philadelphia Eagles,no
Derek Barnett,Defense,Philadelphia Eagles,no
DeVante Bausby ,Defense,Philadelphia Eagles,no
Treyvon Hester,Defense,Philadelphia Eagles,no
Rodney McLeod,Defense,Philadelphia Eagles,no
Chandon Sullivan,Defense,Philadelphia Eagles,no
LaRoy Reynolds,Defense,Philadelphia Eagles,no
Dexter McDougle,Defense,Philadelphia Eagles,no
Deiondre Hall,Defense,Philadelphia Eagles,no
DJ Alexander,Defense,Philadelphia Eagles,no
Carson Wentz,Defense,Philadelphia Eagles,yes
Corey Clement,Defense,Philadelphia Eagles,yes
Dallas Goedert,Defense,Philadelphia Eagles,yes
Daeshon Hall,Defense,Philadelphia Eagles,no
Timmy Jernigan,Defense,Philadelphia Eagles,no
Golden Tate,Defense,Philadelphia Eagles,no
Nelson Agholor,Defense,Philadelphia Eagles,yes
Josh Perkins,Defense,Philadelphia Eagles,yes
Jay Ajayi,Defense,Philadelphia Eagles,yes
BJ Bello,Defense,Philadelphia Eagles,no
Josh Adams,Defense,Philadelphia Eagles,no
Wendell Smallwood,Defense,Philadelphia Eagles,no
Rick Lovato,Defense,Philadelphia Eagles,no
Richard Rodgers,Defense,Philadelphia Eagles,yes
Jeremiah McKinnon,Defense,Philadelphia Eagles,no
Josh Sweat,Defense,Philadelphia Eagles,no
Nick Foles,Defense,Philadelphia Eagles,yes
Darren Sproles,Defense,Philadelphia Eagles,yes
Lane Johnson,Defense,Philadelphia Eagles,no
Shelton Gibson,Defense,Philadelphia Eagles,yes
Stefen Wisniewski ,Defense,Philadelphia Eagles,no
Brandon Brooks,Defense,Philadelphia Eagles,no
Cameron Johnston,Defense,Philadelphia Eagles,no
