Name,Position,Team,Position > 1
Brandon Allen,Quarterback,Los Angeles Rams,no
Brian Allen,Center,Los Angeles Rams,no
CJ Anderson,Running Back,Los Angeles Rams,no
Mark Barron,Inside Linebacker,Los Angeles Rams,no
Austin Blythe,Center,Los Angeles Rams,no
Michael Brockers,Defensive Line,Los Angeles Rams,no
Marqui Christian,Safety ,Los Angeles Rams,no
Brandin Cooks,Wide Receiver,Los Angeles Rams,no
Blake Countess,Defensive Back,Los Angeles Rams,no
Justin Davis,Running Back,Los Angeles Rams,no
Dont’e Deayon,Corner Back,Los Angeles Rams,no
Jamil Demby,Outer Guard,Los Angeles Rams,no
Aaron Donald,Defensive Tackle,Los Angeles Rams,no
Samson Ebukam,Outer linebacker,Los Angeles Rams,no
Gerald Everett,Tight End,Los Angeles Rams,no
Dante Fowler Jr.,Outer linebacker,Los Angeles Rams,no
John Franklin Myers,Defensive End,Los Angeles Rams,no
Jared Goff,Quarterback,Los Angeles Rams,no
Todd Gurley,Running Back,Los Angeles Rams,no
